學校,系所,學系特色,學科意涵,高中階段可以準備的學習方法或方向,適合從事工作,多元能力,性格特質,網址,學類
東吳大學,會計學系,1.會計核心課程，均採小班制教學，並實施統一教材、統一進度及統一考試之教學制度。2.會計專業課程，輔以個案討論，培養學生獨立思考及溝通能力，為全國會計教育界之首創。3.為培養學生專業倫理之精神，於碩士班特招智能審計組，期能培養會計與資訊兼具之專業人才。4.配合資訊時代潮流，特規劃一系列資訊與電子商務專業課程。5.延聘國際、大陸及國內各校著名學者任教，以加強國內外校際間交流。,會計是將企業的財務狀況與經營成果表達出來，提供股東、債權人以及內部經營階層等，企業利害關係人決策使用的一套記錄與報導的程序。會計學在商學/管理學院是必修科目，這是因為凡是商業活動都必先透過會計紀錄，才能得到基礎的資料，供後續決策分析之用。,進入商學領域，一方面需要了解企業所處外在經濟環境，也要了解企業在整個產業中的地位。企業內部的組織文化、經營哲學、管理系統，如何整合運作，以便達到企業目標。因此在高中時期，可以透過課外閱讀，特別是關注經濟類新聞、商業雜誌，從日常生活的接觸，體現企業對生活、社會的影響。,"['會計師', '會計主管', '成本會計', '審計人員', '稅務人員']","['邏輯推理', '快速知覺與總結', '專注力', '批判思考', '主動學習', '社會覺察與合作', '記憶詮釋', '語文理解與表達', '敏銳創造', '問題解決']","['合作互助', '堅毅負責', '樂群敬業', '自信肯定', '開朗活潑', '深思力行', '變通開創']",http://www.acc.scu.edu.tw,會計學類
東吳大學,企業管理學系,本系是國內規模最大的企業管理學系之一，擁有近百位專兼任師資，包括許多實務界專業管理人士，因此能提供廣泛而完整的課程，鼓勵學生多方向的探索，滿足學生多樣的學習需求，並且能與實務密切結合。學系成立超過50年，培育出超過萬名的畢業系友，在許多行業都有傑出的表現，是未來學系與畢業生職場發展絕佳的基礎。,企業是現代社會重要的組織，個人的工作、生活中各式需求能夠得到滿足，都離不開企業力量。企業管理教育的目的，是想要讓學生了解企業組織的制度與結構、運作的原理、解決問題的工具與方法、以及如何影響、激勵個人，使得學生能夠知道要如何整合人力、財務等資源，發揮團隊的力量，協助解決顧客的問題，以創造社會價值。,關心日常商業新聞及涉獵各種類商業雜誌，或透過學校社團活動，瞭解組織運作方式，亦有相當助益。,"['經營管理主管', '人力資源主管', '財務主管']","['批判思考', '說服協商', '問題解決', '語文理解與表達', '敏銳創造', '邏輯推理']","['主動積極', '自信肯定', '合作互助', '探究冒險', '變通開創', '堅毅負責', '深思力行', '開朗活潑']",http://www.ba.scu.edu.tw/,企業管理學類
東吳大學,國際經營與貿易學系,1.師資優良:每位專任教師具備專業學術背景，且皆是畢業於國內外知名頂尖學府之博士。2.課程設計:以國際經營管理、國際行銷、國際貿易、國際金融四大領域為主軸。3.提升外語能力：開設全英語授課、聘請國外客座教授、訂定英語能力畢業門檻。 4.國際化學習機會:鼓勵學生赴國外交換及參加海外移地教學活動。5.創意競賽活動:激發學生創意並培養學生團隊合作能力。,國際經營與貿易學系為因應全球經貿活動與國際企業經營趨勢，以「培養具國際觀、人文素養之經貿與商管基礎人才」為發展宗旨，課程設計以國際經營管理、國際行銷、國際貿易、國際金融四大領域為主軸，並包含法律與語言課程。,要有敏銳的洞察力，要能敏銳，就要時時刻刻蒐集吸收新知時識，要有洞察力，基礎是有相關專業能力，再加上創新創造力，加強英文能力，英文能力包括能夠閱讀國際資料和書籍和書寫報告。,"['行政事務秘書', '國貿人員', '銀行櫃員', '業務人員', '儲備幹部']","['語文理解與表達', '敏銳創造', '邏輯推理', '批判思考', '問題解決', '程式設計', '資源管理', '主動學習', '自省促進', '社會覺察與合作', '說服協商', '數理科學', '記憶詮釋', '快速知覺與總結']","['合作互助', '變通開創', '主動積極', '樂群敬業', '探究冒險', '堅毅負責', '深思力行', '自信肯定', '開朗活潑', '親和接納']",http://www.scu.edu.tw/ibsu/,國際企業學類
東吳大學,財務工程與精算數學系,本系主要以財務工程與精算數學為發展主軸，近年來更投入大數據分析及人工智能等專業領域，建立以數學為體、商學為用的發展特色。目前專任師資共19人，兼任教師包含前台灣銀行總經理及業界知名精算師等人。課程劃分為財務工程、保險精算、數學統計、資訊及金融科技等五大領域。目前學系設有多項獎學金予學業優異、清寒勵學及考取專業證照等學子。未來本系將以年輕化、專業化及應用化等目標，培育優秀人才。,財務工程學科為財務分析及金融商品研發為學習範疇；精算數學學科則係以精算學、保險學及風險管理為學習範疇。,除基本理論基礎學習外，可培養並加強邏輯思考及運算推導之能力，有助於未來課程之銜接及學習。,"['財務專業人員', '金融專業人員', '統計精算人員']","['邏輯推理', '數理科學', '語文理解與表達', '問題解決', '程式設計', '資源管理', '敏銳創造', '記憶詮釋', '快速知覺與總結', '同時多工', '專注力', '批判思考', '主動學習', '自省促進', '社會覺察與合作', '說服協商']","['主動積極', '自信肯定', '親和接納', '堅毅負責', '探究冒險']",https://www.feam.scu.edu.tw/,財務金融學類
東吳大學,資訊管理學系,本系設立於61年，至今已逾50年。整體課程規劃方向以培養資訊系統之研究、開發、管理與整合之專業人才為目標。課程設計除考量本系之特色、教學目標以及師資之專長外，同時也力求企業管理理論與資訊系統實務並重，不但保有原資訊科學系實作能力之特長，也強化企業管理知識，達到培養企業所需之資管專業人才的目標。,領域名稱為資訊通訊科技領域，  學類名稱為軟體及應用的開發與分析學類， 細學類名稱為資訊技術細學類， 學習領域為學習電腦系統和計算環境的設計及開發。,本系教育方向重視創新科技及配合國家社會需求，有關學科之準備建議以英文及數學為重點，旨在提高新知涉獵之基本素養及邏輯運算等思維訓練。,"['網路軟體程式設計師', '其他資訊專業人員', 'MIS程式設計師']","['程式設計', '數理科學', '記憶詮釋', '專注力', '主動學習', '說服協商', '問題解決']","['主動積極', '自信肯定', '合作互助', '堅毅負責', '變通開創']",http://www.csim.scu.edu.tw,資訊管理學類
東吳大學,資料科學系,東吳大學獨步亞洲首創『巨量資料管理學院』，並設立資料科學系，效法美國知名學府，不僅著重知識的傳授更強化專業領域的養成，課程規劃彈性而因應時代所需。著重於資料科學跨領域應用，課程設計結合機器學習、人工智慧、資料分析、資料視覺、數學、統計、管理、金融、行銷、社會、心理、商業應用等跨領域應用，強調專題實作與企業實習，同時引進業師群實務授課，致力培育高應變力的跨領域數據人才。,在資料科學領域裡工作的人需要具備兩方面素質：一是概念性，主要是模型理解與運用；二是實踐性，主要是處理實際資料的能力。培養這樣的人才，需要數學、統計與計算機科學等學科之間的密切合作，同時也更需要產業界的投入與協助，現在遍佈於日常生活中的影音推薦系統、Siri 語意分析系統等都是應用。,高中端可以利用網路教學或是線上課程來進行預先學習，或是經由雜誌、媒體等方式多吸收來自各種不同面向的科技趨勢與走向，讓自我對於數位化、人工智慧的應用場域更加了解。,"['行銷企劃部門主管', '其他資訊專業人員', '金融科技']","['敏銳創造', '快速知覺與總結', '問題解決', '運作分析', '程式設計', '數理科學', '記憶詮釋', '邏輯推理', '批判思考', '主動學習', '語文理解與表達']","['變通開創', '主動積極', '開朗活潑', '合作互助', '深思力行']",http://bigdata.scu.edu.tw/,數據統計學類
東吳大學,音樂學系,1. 學士班以培養音樂演奏/唱人才為主，故以其主修類別分鋼琴、聲樂、管樂、弦樂與敲擊樂五組，另為培育創作人才亦設有作曲組。學系架構完整紮實，符合古典音樂人才培育之傳統。2. 本學系專兼任教師現約百名，均為留學歐美知名音樂學府之優秀音樂家，提供學生全方位的音樂專業教育。3. 為提昇音樂學系學生音樂以外之第二專才，本學系自21世紀開始，陸續開設跨領域之音樂與相關應用課程。,1. 古典音樂為主，人文藝術為本。2. 專兼任教師均為留學歐美知名音樂學府有成之音樂專業人士，教學、創作、演奏、演唱、理論、實務經驗豐富完整且多元。,加強藝術感知、欣賞、創作與鑑賞的能力，體會藝術創作與社會、歷 史、文化之間的互動關係，透過生活美學的涵養，對美善的人事物，進行賞析、建構與分享。,"['音樂／作曲／歌唱家及演奏家', '藝術指導／創意總監', '音樂老師']","['聽覺辨識', '語文理解與表達', '敏銳創造', '邏輯推理', '記憶詮釋', '快速知覺與總結', '專注力', '手工操作', '主動學習', '自省促進', '社會覺察與合作', '問題解決']",['主動積極'],http://www.scu.edu.tw/music,音樂學類
國立政治大學,中國文學系,● 優良的學術傳統，擁有專業師資與多元豐富課程● 嚴謹的本科學術訓練，並鼓勵學生跨領域學習● 凝聚的師生情感，是個專注學習安心生活的大家庭。● 設立「跨域、創新、實踐—應用中文學分學程」，透過本校不同學院合作開課，培養跨領域專業人才。,本系以「中國文學」為核心，思想、語言文字為基礎，內容涵蓋古典文學、現代文學、域外漢學、數位人文學等領域。,對於有意走上中文系道路的同學，建議在高中時多接觸經典名著，培養閱讀文學作品的習慣。同時，練習歸納分析文本內容，嘗試用不同的觀點進行解讀，在養成文字閱讀與賞析能力之餘，亦讓自己擁有批判性思考與邏輯思維。透過多看、多寫、多思考，累積中文相關基本能力。,"['教授／副教授／助理教授', '中學教師', '編輯', '行銷企劃人員', '廣告文案╱企劃']","['語文理解與表達', '敏銳創造', '批判思考', '主動學習', '自省促進', '社會覺察與合作', '說服協商', '問題解決', '資源管理', '邏輯推理', '數理科學', '記憶詮釋', '快速知覺與總結', '同時多工', '專注力']","['親和接納', '合作互助', '堅毅負責', '深思力行', '探究冒險', '變通開創', '主動積極', '自信肯定', '開朗活潑', '樂群敬業']",https://chinese.nccu.edu.tw/main.php,中國語文學類
國立政治大學,歷史學系,本系師資多元，來自國內外知名大學。課程分基礎與進階兩類，特色涵蓋東亞近現代史、世界史、醫療史、社會史及思想文化史等領域。設有「近代社會的身體與性別」跨領域學分學程，訂有「五年一貫修讀學、碩士學位作業辦法」，希望培養歷史教育、研究人才與文化工作者，使學生成為具公民責任感與國際視野的未來領導人。,歷史學強調「鑑往知來」，除了探究「我從哪裡來？」、「我往哪裡去？」及「我是如何成為今日之我？」等問題，也希望透過獨立思辨與清晰論述的訓練豐富人文素養與自我認知，並應用於不同領域，提升未來面對挑戰與解決問題的能力。,多元認知：廣泛閱讀不同領域、題材、形式，具問題性的長篇人文或社會科學文本。邏輯思辯：經常就被視為理所當然的現象或刻板印象思考其是否合理。解讀文獻：除了讀懂特定文獻的文意，又追究它們的來源和它們為什麼受到書寫的目的。整合各領域知識的能力：針對不同年齡、性別、族群背景的人提出準確的文字說明。,"['教授／副教授／助理教授', '哲學／歷史／政治相關研究人員', '中學教師', '公家機關相關人員', '其他傳媒相關工作人員']","['語文理解與表達', '敏銳創造', '邏輯推理', '批判思考', '主動學習', '自省促進', '社會覺察與合作', '說服協商', '問題解決', '記憶詮釋', '快速知覺與總結']","['主動積極', '樂群敬業', '自信肯定', '開朗活潑', '親和接納', '合作互助', '堅毅負責', '深思力行', '探究冒險', '變通開創']",https://history.nccu.edu.tw/,歷史學類
國立政治大學,哲學系,本系創立於民國五十八年八月，以培育哲學人才及人文傳承為創系宗旨。七十九年八月，增設碩士班。八十八年八月，成立博士班，至今大碩博完備發展，歐陸、英美、東方哲學兼備，歐陸師資相較其他領域更為充沛，致力關懷人文社會科學基礎為核心目標，現為台灣數一數二的哲學研究重鎮。,古希臘人愛智，而創造了哲學，成為各科目的發展之源，本系以哲學基礎科目三史六論，做為必修課的編排重點，如哲學概論、倫理學、知識論、形上學，實踐希臘人的愛智手法。選修課的部分，誠如黑格爾所述「智慧女神密涅瓦的貓頭鷹」的精神，以現象學、網路哲學、科學哲學、心靈哲學、照顧哲學等選修課，探究近代哲學領域。 ,持續閱讀與哲學有關之書籍，與同儕一起閱讀並討論哲學文本，修習與哲學有關之課程或參加與哲學相關之座談活動，以培養獨立思考、辯論反思與溝通整合能力。,"['藝術創作人員', '新聞採訪記者', '廣告文案╱企劃', '行政人員']","['語文理解與表達', '敏銳創造', '邏輯推理', '批判思考', '主動學習', '問題解決', '數理科學', '記憶詮釋', '快速知覺與總結', '空間定向', '同時多工', '專注力', '肢體力量與協調']","['探究冒險', '堅毅負責', '主動積極', '自信肯定', '合作互助']",https://thinker.nccu.edu.tw/,哲學學類
國立政治大學,教育學系,本校教育系成立於民國43 年，歷史悠久，為部定師資培育學系，以培育中等學校師資為主，有其優良傳統，並已培育出無數優秀人才(含教育行政主管、大學及中小學校長及教師等)。本系特點如下：1.綜合型頂尖大學，促進跨領域學習2.雙專長師資培育(輔導專長為主)/公費生3.教育行政試探4.全英語授課課程(ETP)5.實驗教育基地6.本系與政大附中與政大實驗小學密切合作,「教育無他，愛與榜樣」。十年樹木，百年樹人，教育是國家百年大業，更是社會發展的基礎。教育的範疇十分廣泛，教育系以教育理論為基礎，輔以教育方法的實際演練，以及教育議題的探討，致力於培育優良師資及教育行政人才。,經典導讀係多方涉獵著名教育學理論提供解釋現今教育現象的依據，著名學者有杜威、裴斯泰洛奇與福祿貝爾等。此外本系也廣及心理學、社會學與哲學領域，可透過閱讀相關基礎理論作為與教育學結合之素材。實務實習則強調理論應用與實踐並累積教學經驗，建議可以透過參與為國中小舉辦之營隊，以不同的視角在教室中拓展自我視野。近年也重視地方創生與大學社會責任等議題，可以透過參與相關活動累積服務經驗並接觸大學與鄰近社區。議題討論面對的是與時俱進的教育現況，唯透過持續跟進教育時事方能在瞬息萬變的教育場域深耕並貢獻己身心力。實際操作的方法有閱讀新聞與期刊並收聽教育相關Podcast.,"['中學教師', '教授／副教授／助理教授', '其他研究人員']","['語文理解與表達', '敏銳創造', '邏輯推理', '社會覺察與合作', '批判思考', '主動學習', '自省促進', '說服協商', '問題解決', '系統運作', '記憶詮釋', '快速知覺與總結', '專注力']","['樂群敬業', '開朗活潑', '親和接納', '堅毅負責', '變通開創', '主動積極', '深思力行', '探究冒險', '合作互助', '自信肯定']",https://edu.nccu.edu.tw/,教育學類
國立政治大學,政治學系,本系是華語政治學界中歷史最為悠久的學術單位之一，設有學士、碩士與博士三種學位課程，旨在培養學生敏銳的政治觀察力、人文素養、獨立思考能力。2018年QS世界大學在「政治與國際關係領域」之『學術聲譽』項排名全球第64名(同領域香港中文大學第61名、美國史丹福大學第68名、台灣大學百名外)，對本系所師資與研究成果的一大肯定。,本系專業領域涵蓋「經驗政治」、「比較政治」、「政治思想與歷史」三大學門，課程內容為介紹政治學的基礎概念與理論、比較各國政治制度、認識我國憲政體制並思考未來憲政價值與藍圖，學習以政治哲學的視角去觀察與反思公共議題，且能本著「科學」的精神，系統性地使用統計方法，從事社會科學實證研究，客觀地分析政治、社會以及經濟現象。,關心時事發展，並進行社會參與，進而多做現在與過去之聯想與對話。嘗試問題式探究，並以小論文之撰寫，在相關作品中，能夠有系統且有條理地說明個人見解。並且，增加生活經驗，進而去觀察社會現狀，非為了升學為目的的各類義工服務，而是能透過書面能口語表達出參加活動具體收獲與反思，辦理相關活動經驗心得感想與啟發、競賽結果與成績取得意義。,"['行政主管', '人力資源主管', '傳播媒體主管', '哲學／歷史／政治相關研究人員', '主播']","['語文理解與表達', '敏銳創造', '邏輯推理', '數理科學', '社會覺察與合作', '批判思考', '主動學習', '說服協商', '問題解決', '運作分析', '同時多工', '專注力']","['主動積極', '自信肯定', '合作互助', '深思力行', '變通開創']",https://politics.nccu.edu.tw/main.php,政治學類
國立政治大學,社會學系,社會學系與政大校史同等悠久並且位居台灣人社學科核心。本系著重啟發個人處境的社會學想像，致力於全球和地方問題的發現和解決。面對媒介和科技化趨勢，本系特色在促進人文與科學的交流，培育知識與技能的素養，開發思考與批判的潛力，落實服務與正義的理念，關心群己與環境的關係，鼓勵實踐與創新的結合。,社會學首先著眼於從互動、人口、階層、組織等結構因素入手，瞭解社會對於個人思想行為的影響。從而，像是霸凌、網紅、外籍配偶、過勞、NGO、東亞研究等等，都可以是社會學的研究對象。另一方面，對於這些現象的結構分析，也將有助於個人的社會實踐與參與。,學習社會學最好的準備方式，就是不要特別為了準備念社會學而準備，反而是，要提前於高中階段認識真實社會生活，它可以是家庭、班級、社團甚至課程分組。你要多閱讀各式社會題材的小說、散文或社會議題論述，培養自己對各種社會現象的想像力與同理能力。若有機會，你可以試著增加生活經驗，志願服務是為了觀察社會現狀，進而提出自己的看法，而非為只了升學卻欠缺反思的活動。空暇時間多與自己獨處，想想自己是誰？適合什麼？喜歡什麼？有什麼不同的能力或素養？除了考科學習以外，行有餘力可時常練習做各種紀錄，書評、影評、樂評、遊記或社會評論都是很好的嘗試，透過你自己的思考和特有的文字，用你自己的話來描繪你觀察到的社會生活。,"['市場調查／市調分析', '公家機關相關人員', '中學教師', '教授／副教授／助理教授', '人力資源主管']","['語文理解與表達', '敏銳創造', '邏輯推理', '數理科學', '專注力', '批判思考', '主動學習', '自省促進', '社會覺察與合作', '問題解決']","['主動積極', '樂群敬業', '自信肯定', '開朗活潑', '親和接納', '合作互助', '堅毅負責', '深思力行', '探究冒險', '變通開創']",https://sociology.nccu.edu.tw/,社會學學類
國立政治大學,財政學系,            於創校與復校之際，均為養成公共部門資源管理、公共決策分析之專門人才而存在，迄今依然是公部門稅務、會計、經濟人才的主要骨幹。             本系訓練人才融會貫通經濟、會計、法律知識與思維模式，因此除公部門外，亦有往銀行與會計師事務所發展者。,財政為經濟分支，專注於公共經濟領域。融合以下學科：經濟：了解公部門資源運用、籌資決策對個人行為、總體經濟的影響。籌資方面以稅制研究為主流。會計：需看懂財務報表，以做決策判斷或查核。法律：養成「辨認問題、找出解決問題的規範、根據事實套用規範、結論」的邏輯思考能力。,除了學習課本理論之外，也鼓勵同學擴大生活圈、觀察生活周遭，了解如何將所學知識應用於實際的案例。,"['會計師', '審計人員', '稅務人員', '金融投資人員']","['語文理解與表達', '邏輯推理', '數理科學', '快速知覺與總結', '批判思考', '主動學習', '自省促進', '社會覺察與合作', '說服協商', '問題解決']","['主動積極', '自信肯定', '合作互助', '深思力行', '變通開創']",https://pf.nccu.edu.tw/,財稅學類
國立政治大學,公共行政學系,本系成立於1963年，是臺灣歷史最悠久的公共行政學系。本系一直致力於培育政府部門之人才與領導，近年更因應新趨勢，將人才培育擴展至第三部門及各類相關公共事務之部門。本系畢業生深受業界好評，為業界所青睞，本系菁英遍佈政府機關與各行各業。本系官學合作頻繁，是學習政府運作實務之最佳園地，師資學術表現傑出，並與實務緊密聯繫，是理論與實務兼備之學系。,公共行政學是一門跨領域的綜合性學科。除了行政學與公共政策外，其涵蓋管理學、政治學、經濟學、社會學、心理學等範疇之學問。任何涉及公共事務或公共治理的知識與工具皆會被納入本學科的知識吸收範圍或成為本學科的次領域。,NA,"['公家機關相關人員', '人力資源專員', '教授／副教授／助理教授']","['主動學習', '社會覺察與合作', '問題解決', '資源管理']",['主動積極'],https://pa.nccu.edu.tw/main.php,行政管理學類
國立政治大學,地政學系土地資源規劃組,土地資源規劃組培養結合人文社會與理工科技人才，除了土地管理、土地資源規劃及土地測量與資訊實務技能外，更著重規劃實務的訓練，以培育具有國土計畫、都市計畫與不動產開發規劃之專才。,土地資源規劃：係指為促使土地與資源之有效率利用，透過科學技術進行數據、資料之調查與分析，並進一步制訂計畫以指導土地使用的專業。,高中生可以透過高中學習歷程與自主學習過程，在相關課程小作業中適度結合上述各種學習方法，並培養自己對於國土計畫、都市計畫與不動產開發規劃的興趣與基礎能力。,"['都市規劃人員', '土地開發人員', '代書／地政士', '量測╱儀校人員']","['語文理解與表達', '邏輯推理', '快速知覺與總結', '社會覺察與合作', '問題解決', '系統運作', '資源管理', '說服協商', '專注力', '批判思考', '主動學習', '自省促進', '數理科學', '記憶詮釋', '敏銳創造']","['樂群敬業', '深思力行', '探究冒險', '變通開創', '主動積極', '自信肯定', '開朗活潑', '合作互助', '堅毅負責']",https://landeconomics.nccu.edu.tw/main.php,都市計畫學類
國立政治大學,地政學系土地管理組,本系致力於培育地政領域專業人才，師資於美、英、日、德等取得博士學位。土地管理組定位為培育公私部門土地政策與法律、不動產管理與經營人才；課程理論與實務並重。在學生可透過交換生制度至國外大學學習，而畢業系友服務於公、私部門皆表現優異。,土地管理組是以土地或不動產為教學及研究主軸，相關之法制、政策、投資與市場分析、開發與經營管理知識皆為學習範疇。,準備方式可以藉由多閱讀關於土地或不動產交易的新聞報導、相關的社會議題論述，培養自己對各種情境與問題的理解能力與同理能力。在高中生涯，多練習寫各式各樣的評論（書評、影評、樂評、遊記或社會評論），練習可以有邏輯、有組織架構的用文字表達自己的觀點想法，並注意不要使用過多的國文辭藻形容，而是能夠以真實數據或具體事實描述，表達出你想要說的話。,"['不動產／商場開發人員', '不動產產權審核／估價師', '不動產銷售人員']","['語文理解與表達', '敏銳創造', '邏輯推理', '主動學習', '自省促進', '社會覺察與合作', '問題解決', '說服協商', '數理科學', '快速知覺與總結', '專注力', '批判思考']","['樂群敬業', '自信肯定', '合作互助', '深思力行']",https://landeconomics.nccu.edu.tw/main.php,土地資產學類
國立政治大學,地政學系土地測量與資訊組,「土地測量與資訊組」所學的課程包括各類空間資訊的原理、操作與應用。空間資訊就是在高中地理課所講的「空間資訊科技」單元，包括「地理資訊系統」、「遙感探測」、「全球衛星定位導航」等技術。我們還會深入介紹更多、更新的其他技術，並且實際動手操作。,涵蓋陸海空「空間資訊科技」。陸上學科有平面測量學、大地測量學；海上學科有海洋測量學；空中學科有航空攝影測量；太空學科有衛星定位導航、遙感探測。為了有效統整這些學科所得成果，課程包含地理資訊科學與程式設計。授課內容可了解臉書打卡原理、電玩遊戲場景模擬、無人駕駛車等熱門且有趣的話題。,建議高中生可以藉由參與競賽，以團隊合作方式，透過實驗，完成作品，賽後並能進行檢討。從這個過程中，學習自己動手做，以及從做中學的精神。,"['軟體設計工程師', '其他特殊研發工程師', '建築設計師']","['數理科學', '空間定向', '問題解決', '程式設計', '快速知覺與總結', '敏銳創造', '邏輯推理', '記憶詮釋', '語文理解與表達', '主動學習']","['主動積極', '開朗活潑', '深思力行', '探究冒險']",https://landeconomics.nccu.edu.tw/main.php,土木工程學類
國立政治大學,經濟學系,(一)優良師資陣容：專兼任教師超過30位以上，跨足各項經濟專業領域，且為本校開設最多英語授課課程系所之一，提供中英文的不同學習環境，使學生適性選擇。 (二)五年一貫計畫：依「五年一貫修讀學、碩士學位鼓勵辦法」，鼓勵本系學士班優秀學生繼續就讀本系碩士班，培養優秀人才，以達到連續學習及縮短修業年限之目的。(三)國外交換學生計畫：藉由交換學生及雙聯學位，培養同學國際視野及增加同學國際競爭力。,人們時時刻刻都在選擇，經濟學是以嚴謹的科學方法，有系統地解析人們是如何進行理性選擇的社會科學。透過經濟學的分析，我們對消費行為、資產配置、廠商決策、市場績效、政府政策都有入理探究，甚至婚姻選擇、法律制訂等等議題，也有更深入的瞭解。,精進課程內外關於數理邏輯及英語能力的練習,"['金融專業主管', '財務主管', '經營管理主管']","['邏輯推理', '問題解決', '系統運作', '敏銳創造', '數理科學', '批判思考', '主動學習']","['堅毅負責', '樂群敬業', '開朗活潑']",https://econo.nccu.edu.tw,經濟學類
國立政治大學,民族學系,藉由民族學(重理論掌握與整合)、民族誌(重現象紀錄與描述)、民族史(重歷史材料運用與分析)的學科內涵，民族語言與質性研究的方法訓練，培養具族群政治思維與文化視野人才。進階學習：提供人文與藝術、社會與公共治理、環境與實作三領域群修課程；研究區域：關注中國少數民族、台灣原住民族、台灣新住民議題，及東北亞、東南亞、大洋洲等區域之人群與文化現象。,民族學是關注個別民族文化、民族與民族間之關係，以及國家與民族之互動和公共治理典範的社會科學。民族學期望透過對於民族關係、族群差異、社會文化的深入探析，瞭解民族在當代國家中的文化變遷、社會適應與族群認同等重要現象，進而推動跨文化對話、促進民族發展、邁向多民族互惠共生社會。,藉由批判性閱讀民族學經典著作，厚植學理及理解不同的民族文化，深化跨文化比較觀點。可運用學習模式SQ3R法進行閱讀，先瀏覽(Survey)、略讀文獻，得到概括認識與瞭解，透過發問(Question)引發思考。再經由閱讀(Read)、背誦(Recite)、複習(Review)統整知識，加深記憶與理解。並可瞭解社會科學的研究方法，熟悉社會科學知識的生產過程與工具。除閱讀外，民族學與田野調查密不可分，田野調查方法也被社會科學各領域（甚至商業、科技介面等研究）廣泛應用。可選擇感興趣的主題，尋找一個適洽的場域與主題，嘗試運用田野調查方法加以觀察紀錄，磨練自身的能力與技巧，體會田野調查方法「研究者本身即為研究工具」的特殊性質。,"['公家機關相關人員', '博物館人才', '教育人才', ' 觀旅人才', '文化、文資、社區總體營造人才']",['問題解決'],"['主動積極', '親和接納', '探究冒險', '變通開創', '合作互助', '堅毅負責', '深思力行']",http://www.ethnos.nccu.edu.tw/,人類民族學類
國立政治大學,外交學系,政大外交學系，是個歷史悠久的學系，也是國際事務的人才搖籃。迄今誕生了數位外交部長、新聞局長以及超過百名以上的駐外大使。外交系以培育涉外事務人才為宗旨，特別重視國際競爭力及國際移動能力的養成。本系鼓勵學生學習第二外語，使學生成為同時具備國際政經知識且精通多種外語的人才。讓外交系學生在全球化時代裡，能具備更堅實且多元的能力。,「外交」著重學生國際視野之拓展，涵蓋政治、經濟、歷史、心理、語言等課程以擴展學生相關知識的廣度，強調外國語文（尤其是英文）之實用訓練，及區域研究和國際政治之專業知識。透過多面向的角度，促進學生養成獨立批判的思考。,一、勇於接受新事物：不侷限自我，保持開放的心胸，保持好奇以及求知慾。二、關心時事發展：多接觸國際大小事、文化相關活動、新聞等，提升自我對周遭環境與世界的認識。三、精進語言能力：嘗試以不同語言表達個人觀點，並與他人進行溝通與討論。四、累積各式生活經驗：提升與人互動、相互學習的機會，並廣泛接觸各領域知識，練習以不同視角看待事物。,"['公家機關相關人員', '國內企業', '國際企業、外商公司', '非政府及非營利組織', '教授／副教授／助理教授']","['語文理解與表達', '批判思考', '主動學習', '說服協商', '問題解決', '敏銳創造', '邏輯推理', '記憶詮釋', '快速知覺與總結', '專注力', '社會覺察與合作']","['主動積極', '樂群敬業', '自信肯定', '開朗活潑', '親和接納', '合作互助', '堅毅負責', '深思力行', '探究冒險', '變通開創']",https://diplomacy.nccu.edu.tw/main.php,政治學類
國立政治大學,國際經營與貿易學系,國立政治大學國際經營與貿易學系旨在培養具備全球視野之卓越國際經營與貿易人才，希冀學生通曉商管領域的專業知識或技術，接受了國際多元文化薰陶，並樂於跨領域學習，在未來國際商業舞台中得以脫穎而出，發光發熱。,有文明記載以來，人類即跨越國境從事商品貿易 ，其歷史可追溯回連結東西方、橫亙西安（中國）與羅馬（義大利）的絲路之前。本系創立之初，台灣海島型經濟仰賴國際間密切之貿易交流，其時國際貿易學系著重的是國際企業要從事跨境交易時，所需的專業知識，例如國際貿易理論與政策等....(詳見附檔)。,專心學習高中相關基礎課程，培養未來專業領域學習發展能力；積極參與團體活動，培養團隊合作能力和溝通表達技巧。藉由社團活動或課堂報告，培養主動批判性思考及解決問題的能力。,"['金融專業人員', '行銷企劃部門主管', '經營管理主管', '業務主管', '其他研究人員']","['語文理解與表達', '敏銳創造', '邏輯推理', '問題解決', '程式設計', '資源管理', '數理科學', '記憶詮釋', '快速知覺與總結', '同時多工', '專注力', '批判思考', '主動學習', '自省促進', '社會覺察與合作', '說服協商']","['主動積極', '樂群敬業', '自信肯定', '開朗活潑', '親和接納', '合作互助', '堅毅負責', '探究冒險', '變通開創', '深思力行']",https://ib.nccu.edu.tw/,國際企業學類
